reference_candles,with_first_touch,first_touch_rate,median_hours_to_first,opposite_within_24h,opposite_within_24h_from_activate,opposite_within_72h,opposite_within_72h_from_activate,opposite_within_120h,opposite_within_120h_from_activate,first_side_up_share,9PM_opposite_within_72h,9PM_first_touch_n,9AM_opposite_within_72h,9AM_first_touch_n,touch_rate_k2,touch_rate_k2.5,touch_rate_k3,touch_rate_k4,touch_rate_k5,null_terminal_1R_rate,null_terminal_2R_rate,null_median_penetration_R,null_reclaim_rate,scenario,rep
1288,1258,0.9767080745341615,10.625,0.1192368839427663,0.0643879173290938,0.2845786963434022,0.2289348171701113,0.4093799682034976,0.3600953895071542,0.5190779014308426,0.26224328593996843,633,0.3072,625,0.7682453416149069,0.7309782608695652,0.6851708074534162,0.5904503105590062,0.5135869565217391,0.09943034697048161,0.08881408596582081,2.5340668439047676,1.0,gbm_baseline,0
1288,1260,0.9782608695652174,10.975,0.1246031746031746,0.06349206349206349,0.28095238095238095,0.2253968253968254,0.396031746031746,0.3476190476190476,0.5055555555555555,0.28662420382165604,628,0.27531645569620256,632,0.7569875776397516,0.7104037267080745,0.6684782608695652,0.5908385093167702,0.5124223602484472,0.11005291005291006,0.09841269841269841,2.534819275909502,1.0,gbm_baseline,1
1288,1257,0.9759316770186336,10.416666666666666,0.14160700079554495,0.07239459029435164,0.29832935560859186,0.2394590294351631,0.4144789180588703,0.35481304693715193,0.48687350835322196,0.28821656050955413,628,0.30842607313195547,629,0.7717391304347826,0.7286490683229814,0.6828416149068323,0.5954968944099379,0.5205745341614907,0.10789133247089262,0.10090556274256145,2.50457605940548,1.0,gbm_baseline,2
1288,1261,0.9790372670807453,10.183333333333334,0.14195083267248215,0.08326724821570182,0.28865979381443296,0.24028548770816813,0.3917525773195876,0.3473433782712133,0.4845360824742268,0.3090332805071315,631,0.26825396825396824,630,0.7538819875776398,0.7138975155279503,0.6634316770186336,0.5811335403726708,0.5069875776397516,0.11108172441153134,0.09865115048928855,2.5449834264933187,1.0,gbm_baseline,3
1288,1263,0.9805900621118012,10.516666666666667,0.11797307996832937,0.06096595407759303,0.2676167854315123,0.21694378463974665,0.3950910530482977,0.3404592240696754,0.5043547110055424,0.26031746031746034,630,0.27488151658767773,633,0.7752329192546584,0.7278726708074534,0.6875,0.5970496894409938,0.515527950310559,0.09891528925619834,0.0893595041322314,2.654408730012316,1.0,gbm_baseline,4
1288,1270,0.9860248447204969,10.333333333333332,0.11496062992125984,0.05669291338582677,0.28188976377952757,0.22440944881889763,0.384251968503937,0.33937007874015745,0.5464566929133858,0.25902668759811615,637,0.3048973143759874,633,0.7562111801242236,0.718167701863354,0.6739130434782609,0.595108695652174,0.5201863354037267,0.09794628751974724,0.08715113217482885,2.580907959352988,1.0,gbm_baseline,5
1288,1261,0.9790372670807453,10.216666666666667,0.12053925455987312,0.07295796986518636,0.26804123711340205,0.21808088818398097,0.3758921490880254,0.337827121332276,0.49325931800158607,0.26025236593059936,634,0.2759170653907496,627,0.7527173913043478,0.7115683229813664,0.671583850931677,0.5888975155279503,0.515916149068323,0.09517497348886532,0.08775185577942736,2.6792799531976237,1.0,gbm_baseline,6
1288,1259,0.9774844720496895,10.383333333333333,0.12629070691024621,0.07227958697378872,0.27879269261318507,0.22637013502779985,0.3725178713264496,0.3383637807783956,0.46227164416203337,0.2884310618066561,631,0.26910828025477707,628,0.7472826086956522,0.7038043478260869,0.6618788819875776,0.5854037267080745,0.514751552795031,0.10513643659711075,0.09470304975922954,2.6359318722434577,1.0,gbm_baseline,7
1288,1265,0.9821428571428571,11.45,0.12490118577075099,0.057707509881422925,0.2940711462450593,0.24347826086956523,0.4189723320158103,0.3660079051383399,0.5280632411067193,0.2859399684044234,633,0.3022151898734177,632,0.7756211180124224,0.7317546583850931,0.6824534161490683,0.593167701863354,0.5135869565217391,0.10996652073139325,0.09889260880762298,2.45982628962109,1.0,gbm_low_vol,0
1288,1256,0.9751552795031055,11.5,0.11942675159235669,0.0660828025477707,0.25796178343949044,0.2054140127388535,0.36942675159235666,0.32563694267515925,0.5119426751592356,0.24247226624405704,631,0.2736,625,0.7507763975155279,0.7072981366459627,0.6657608695652174,0.5826863354037267,0.5085403726708074,0.10782747603833866,0.09611288604898828,2.536765703763689,1.0,gbm_low_vol,1
