dataset,ref_hour,n_refs,median_R,R_over_daily,first_touch_rate,median_hours_to_first,opp_72h,opp_120h,boot_opp_72h,boot_opp_72h_sd,boot_opp_120h,boot_median_R,excess_72h
real,0,2271,13.5,0.08142340168878202,0.9991189427312775,3.25,0.6644620811287478,0.7266313932980599,0.6065726920463269,0.004989880820344728,0.6746445391449364,10.39564688276793,0.05788938908242092
real,1,2272,17.649999999999636,0.10645355850422022,0.996919014084507,4.75,0.6013245033112583,0.6790286975717439,0.5631724346197514,0.0006793398608766453,0.6503039280568895,11.62021044120335,0.03815206869150689
real,2,2274,22.899999999999636,0.13811821471652436,0.9934036939313984,6.0,0.5166002656042497,0.6064630367419213,0.5045863490376821,0.004681570806264256,0.5972618868133203,14.371303243478906,0.012013916566567584
real,3,2276,31.600000000001273,0.1905910735826382,0.9819859402460457,6.0,0.39373601789709173,0.4935123042505593,0.4221673244913931,0.004830604205630104,0.5263958467861484,18.77223150965877,-0.028431306594301375
real,4,2277,28.0,0.16887816646562198,0.9920948616600791,4.75,0.43913235945108453,0.5312084993359893,0.4647182274005452,0.005138789964023336,0.5645285504001506,15.74017744243065,-0.02558586794946066
real,5,2277,23.700000000000728,0.14294330518697726,0.9912165129556434,3.5,0.49756313690739923,0.58883473637572,0.5121423607776848,0.006429234635996026,0.6079362690792935,13.546890010118355,-0.014579223870285596
real,6,2274,23.799999999999272,0.14354644149577428,0.9956024626209323,2.75,0.4995583038869258,0.5861307420494699,0.48867326555286633,0.00953862566055707,0.5829003591617777,16.26060601452461,0.01088503833405946
real,7,2275,26.69999999999891,0.16103739445114007,0.9920879120879121,2.0,0.4457244129375277,0.5423128046078866,0.461980032305354,0.0037483240991792966,0.5749353402957925,15.923612723707569,-0.016255619367826324
real,8,2274,34.399999999999636,0.20747889022919053,0.9485488126649076,2.5,0.3759851645804358,0.46824292999536393,0.39717640435076135,0.007553664662969342,0.5056335013857313,20.118552522622394,-0.021191239770325554
real,9,2278,71.40000000000055,0.4306393244873393,0.8107989464442493,26.25,0.14239306984298863,0.21873308067135896,0.26278982922974203,0.010457983697504315,0.34896068078631154,38.29407523617829,-0.1203967593867534
real,10,2275,70.5,0.4252110977080839,0.7832967032967033,27.5,0.16666666666666666,0.24298540965207632,0.2700224851999869,0.0005627862349359667,0.36001661531344736,36.58994759534729,-0.10335581853332024
real,11,2275,55.19999999999982,0.33293124246079653,0.8901098901098901,23.25,0.22567901234567903,0.3071604938271605,0.3163075215301607,0.004314874423670301,0.4156477920546057,28.80423554643433,-0.09062850918448165
real,12,2274,45.0,0.2714113389626067,0.9366754617414248,21.0,0.2821596244131455,0.3704225352112676,0.3294798960848873,0.0048959479208560246,0.4254007478025099,28.393680973218277,-0.0473202716717418
real,13,2217,44.29999999999927,0.2671893848009618,0.9382047812359043,20.25,0.29951923076923076,0.3889423076923077,0.3718459122898723,0.014204794062965424,0.47711598396330207,23.522530398674462,-0.07232668152064153
real,14,2198,45.29999999999927,0.27322074788901973,0.9203821656050956,20.5,0.2975778546712803,0.39149777558082055,0.3746153850664289,0.01563668953078843,0.46643588443977485,24.58538114070302,-0.0770375303951486
real,15,2198,50.0,0.30156815440289636,0.8926296633303002,23.75,0.2502548419979613,0.33741080530071355,0.3693169340343276,0.004812350972253945,0.45602999282442497,26.487565305177515,-0.11906209203636631
real,16,2115,24.399999999999636,0.14716525934861124,0.9692526017029328,16.25,0.4958516349438751,0.5866276232308443,0.5280656991325786,0.008621861004119387,0.6136846946974743,15.036800952269308,-0.03221406418870354
real,18,2215,22.0,0.1326899879372744,0.9891647855530474,10.25,0.5189411227749886,0.597444089456869,0.5692893474095276,0.010653354130981887,0.6455654895583968,11.6872452623417,-0.05034822463453903
real,19,2272,18.200000000000728,0.10977080820265867,0.9973591549295775,7.5,0.5860547219770521,0.6597528684907326,0.5371613655618775,0.0036667298483019327,0.6217580797436114,13.200332219939506,0.04889335641517456
real,20,2272,22.799999999999272,0.13751507840771637,0.9933978873239436,10.75,0.4984492689410722,0.585290208241028,0.510606908661373,0.004686597116380585,0.6002974023296473,14.543253237806084,-0.012157639720300817
real,21,2272,20.699999999999818,0.124849215922798,0.9911971830985915,8.75,0.5364120781527532,0.6176731793960923,0.49713000052170603,0.0038866772855894256,0.5851966523724685,15.082029609606252,0.03928207763104713
real,22,2272,16.5,0.0995174909529558,0.9951584507042254,5.75,0.6209641751437417,0.6939407341884122,0.5358770619016043,0.008091885521740574,0.6254907297789326,13.023142630296283,0.08508711324213736
real,23,2272,13.5,0.08142340168878202,0.9986795774647887,4.0,0.6694579109739973,0.7311591009255178,0.5778971550635617,0.0027355080231619617,0.6537809576118406,10.972803047131265,0.09156075591043566
