time,open,high,low,close,MA 1,MA 2
1773964800,4643.3,4664.72,4641.72,4648.27,,
1773968400,4648.27,4699.43,4638.92,4676.86,,
1773972000,4676.86,4703.37,4669.92,4698.17,,
1773975600,4698.17,4736.46,4692.77,4725.55,,
1773979200,4725.55,4727.56,4715.09,4721.71,,
1773982800,4721.71,4723.74,4685.72,4688.24,,
1773986400,4688.24,4701.08,4660.96,4669.15,,
1773990000,4669.15,4707.83,4667.77,4706.26,,
1773993600,4706.26,4734.87,4684.54,4693.75,,
1773997200,4693.75,4700.56,4659.62,4667.57,,
1774000800,4667.57,4670.05,4637.69,4645.36,,
1774004400,4645.36,4674.12,4636.73,4671.73,,
1774008000,4671.73,4695.4,4661.46,4677.86,,
1774011600,4677.86,4679.4,4612.56,4616.11,,
1774015200,4616.11,4622.52,4547.66,4563.56,,
1774018800,4563.56,4580.3,4540.31,4553.07,,
1774022400,4553.07,4613.84,4551.68,4583.1,,
1774026000,4583.1,4600.66,4554.46,4573.34,,
1774029600,4573.34,4578.47,4477.06,4499.39,,
1774033200,4499.39,4516.39,4484.97,4501.53,,
1774036800,4501.53,4514.31,4493.29,4502.88,,
1774216800,4500.05,4535.98,4448.62,4497.79,,
1774220400,4497.79,4510.49,4451.71,4464.27,,
1774224000,4464.27,4473.02,4319.36,4353.74,,
1774227600,4353.74,4453.83,4329.08,4387.37,,
1774231200,4387.37,4421.83,4354.46,4360.17,,
1774234800,4360.17,4377.59,4334.52,4352.53,,
1774238400,4352.53,4381.49,4349.62,4367.22,,
1774242000,4367.22,4379.81,4301.98,4309.73,,
1774245600,4309.73,4310.15,4162.71,4220.12,,
1774249200,4220.12,4232.42,4097.98,4203.86,,
1774252800,4203.86,4270.7,4202.15,4251.19,,
1774256400,4251.19,4308.5,4223.4,4253.54,,
1774260000,4253.54,4281.55,4240.83,4268.65,,
1774263600,4268.65,4463.09,4268.65,4378.77,,
1774267200,4378.77,4492.33,4336.52,4478.16,,
1774270800,4478.16,4485.21,4401.17,4453.9,,
1774274400,4453.9,4512.61,4453.11,4461.52,,
1774278000,4461.52,4486.9,4350.31,4363.49,,
1774281600,4363.49,4391.65,4352.08,4375.64,,
1774285200,4375.64,4439.07,4370.45,4425.85,,
1774288800,4425.85,4466.96,4402.07,4448.65,,
1774292400,4448.65,4450.57,4392.68,4397.5,,
1774296000,4397.5,4412.89,4382.52,4407.06,,
1774303200,4407.06,4431.19,4360.56,4426.49,,
1774306800,4426.49,4448.27,4421.55,4440.79,,
1774310400,4440.79,4446.55,4330.74,4364.32,,
1774314000,4364.32,4374.14,4307.46,4321.81,,
1774317600,4321.81,4379.08,4305.16,4365.72,,
1774321200,4365.72,4368.05,4334.67,4346.96,,
1774324800,4346.96,4356.93,4326.34,4333.02,,
1774328400,4333.02,4373.74,4319.49,4346.85,,
1774332000,4346.85,4404.96,4342.45,4401.69,,
1774335600,4401.69,4432.47,4399.34,4416.77,,
1774339200,4416.77,4420.98,4390.84,4411.75,,
1774342800,4411.75,4431.02,4395.8,4426.17,,
1774346400,4426.17,4441.48,4414.28,4438.4,,
1774350000,4438.4,4441.94,4372.72,4407.62,,
1774353600,4407.62,4427.08,4361.65,4378.62,,
1774357200,4378.62,4389.63,4350.85,4381.12,,
1774360800,4381.12,4433.56,4380.26,4415.6,,
1774364400,4415.6,4431.01,4395.96,4411.23,,
1774368000,4411.23,4427.61,4402.15,4421.44,,
1774371600,4421.44,4426.48,4372,4388.29,,
1774375200,4388.29,4423.66,4383.57,4389.12,,
1774378800,4389.12,4411.39,4388.26,4400.12,,
1774382400,4400.12,4484.01,4397.31,4473.53,,
1774389600,4473.53,4485.92,4455.3,4484.13,,
1774393200,4484.13,4551.51,4472.07,4546.52,,
1774396800,4546.52,4572.07,4537.22,4563.26,,
1774400400,4563.26,4601.21,4552.11,4594.46,,
1774404000,4594.46,4602.38,4579.5,4583.31,,
1774407600,4583.31,4586.41,4567.43,4570.23,,
1774411200,4570.23,4574.72,4565.29,4572.9,,
1774414800,4572.9,4573.55,4548.58,4555.6,,
1774418400,4555.6,4557.16,4532.87,4545.52,,
1774422000,4545.52,4563.19,4536.58,4539.57,,
1774425600,4539.57,4567.85,4535.7,4556.16,,
1774429200,4556.16,4567.69,4527.21,4551.7,,
1774432800,4551.7,4562.5,4551.02,4558.67,,
1774436400,4558.67,4585.66,4555.98,4578.75,,
1774440000,4578.75,4583.58,4521.56,4544.04,,
1774443600,4544.04,4576.34,4540.68,4544.85,,
1774447200,4544.85,4579.13,4532.71,4567.17,,
1774450800,4567.17,4569.06,4524.8,4558.98,,
1774454400,4558.98,4564.9,4545.25,4555.04,,
1774458000,4555.04,4563.82,4542.65,4550.23,,
1774461600,4550.23,4568.73,4530.71,4537.85,,
1774465200,4537.85,4539.68,4486.48,4530.98,,
1774468800,4530.98,4542.06,4494.47,4505.91,,
1774476000,4505.91,4534.9,4505.24,4517.39,,
1774479600,4517.39,4518.3,4488.56,4498.01,,
1774483200,4498.01,4539.04,4497.72,4535.42,,
1774486800,4535.42,4544.35,4522.05,4535.28,,
1774490400,4535.28,4535.84,4505.47,4508.63,,
1774494000,4508.63,4518.69,4499.61,4516.61,,
1774497600,4516.61,4524.24,4511.35,4520.14,,
1774501200,4520.14,4522.22,4438.58,4438.81,,
1774504800,4438.81,4459.16,4415.4,4456.13,,
1774508400,4456.13,4463.7,4438.64,4452.37,,
1774512000,4452.37,4459.02,4411.86,4427.37,,
1774515600,4427.37,4436.96,4414.09,4423.38,,
1774519200,4423.38,4448.31,4416.82,4443.31,,
1774522800,4443.31,4456.59,4418.68,4422.81,,
1774526400,4422.81,4445.85,4416.2,4429.31,,
