time,open,high,low,close,Upper 2.0 R edge,Lower 2.0 R edge,VWAP,MA 1,MA 2
1779922800,4457.06,4457.82,4451.34,4453.42,4549.87,4477.820000000001,4457.370308443824,,
1779923700,4453.42,4454.79,4449.09,4450.29,4549.87,4477.820000000001,4455.802409638554,,
1779924600,4450.29,4454.19,4448.84,4450.66,4549.87,4477.820000000001,4455.0700648620605,,
1779925500,4450.66,4450.7,4443.49,4446.95,4549.87,4477.820000000001,4453.610362116335,,
1779926400,4446.95,4452.26,4444.23,4444.61,4549.87,4477.820000000001,4452.165158524243,,
1779927300,4444.61,4453.97,4443.66,4445.92,4549.87,4477.820000000001,4451.33215233386,,
1779928200,4445.92,4453.19,4443.55,4452.17,4549.87,4477.820000000001,4451.097409297922,,
1779929100,4452.17,4457.82,4450.56,4457.03,4549.87,4477.820000000001,4451.506462127483,,
1779930000,4457.03,4458.81,4437.45,4438.2,4549.87,4477.820000000001,4450.270157020959,,
1779930900,4438.2,4440.57,4416.97,4419,4549.87,4477.820000000001,4446.3319039963435,,
1779931800,4419,4426.43,4415.85,4417.83,4549.87,4477.820000000001,4442.35831585602,,
1779932700,4417.83,4420.36,4406.6,4409.65,4549.87,4477.820000000001,4438.644696419092,,
1779933600,4409.65,4412.64,4396.02,4402.5,4549.87,4477.820000000001,4434.890001518257,,
1779934500,4402.5,4408.72,4399.74,4406.19,4549.87,4477.820000000001,4433.22980335863,,
1779935400,4406.19,4410.42,4400.63,4402.11,4549.87,4477.820000000001,4431.554737610755,,
1779936300,4402.11,4402.5,4392.49,4394.37,,,4429.3668364772875,,
1779937200,4394.37,4397.98,4389.94,4394.11,,,4427.266270699675,,
1779938100,4394.11,4394.45,4381.71,4387.36,,,4424.664344715242,,
1779939000,4387.36,4387.73,4370.67,4376.54,,,4421.259795713377,,
1779939900,4376.54,4379.35,4368.21,4374.74,,,4418.908688615695,,
1779940800,4374.74,4382.19,4369.28,4376.43,4563.2300000000005,4302.18,4416.939328259703,,
1779941700,4376.43,4377.14,4365.85,4368.2,4563.2300000000005,4302.18,4415.059697931409,,
1779942600,4368.2,4375.03,4368.13,4373.83,4563.2300000000005,4302.18,4413.600740627876,,
1779943500,4373.83,4375.44,4367.89,4372.76,4563.2300000000005,4302.18,4411.980822365399,,
1779944400,4372.76,4377.57,4366.94,4375.42,4563.2300000000005,4302.18,4410.660014711409,,
1779945300,4375.42,4379.99,4371.33,4378.55,4563.2300000000005,4302.18,4409.771478999814,,
1779946200,4378.55,4393.55,4374.77,4389.44,4563.2300000000005,4302.18,4408.579510901917,,
1779947100,4389.44,4395.65,4387.53,4388.05,4563.2300000000005,4302.18,4407.828811041829,,
1779948000,4388.05,4390.34,4374.24,4375.89,4563.2300000000005,4302.18,4406.778400313784,,
1779948900,4375.89,4384.95,4373.91,4380.21,4563.2300000000005,4302.18,4406.100339566096,,
1779949800,4380.21,4385.45,4376.82,4380.4,4563.2300000000005,4302.18,4405.4954991893555,,
1779950700,4380.4,4384.46,4379.01,4383.5,4563.2300000000005,4302.18,4405.080118300473,,
1779951600,4383.5,4392.13,4383.43,4388.71,4563.2300000000005,4302.18,4404.659912307095,,
1779952500,4388.71,4396.47,4386.22,4392.68,4563.2300000000005,4302.18,4404.39341752074,,
1779953400,4392.68,4393.74,4385.29,4389.32,4563.2300000000005,4302.18,4404.123694336341,,
1779954300,4389.32,4391.02,4382.64,4387.52,4563.2300000000005,4302.18,4403.776261194819,,
1779955200,4387.52,4394.94,4386.39,4393.36,4563.2300000000005,4302.18,4403.49574081463,,
1779956100,4393.36,4394.45,4387.5,4389.78,4563.2300000000005,4302.18,4403.262899364339,,
1779957000,4389.78,4395.03,4386.21,4389.87,4563.2300000000005,4302.18,4403.0471688717935,,
1779957900,4389.87,4391.83,4385.58,4386.9,4563.2300000000005,4302.18,4402.855632349631,,
1779958800,4386.9,4391.08,4386.18,4389.29,4563.2300000000005,4302.18,4402.651667780735,,
1779959700,4389.29,4399.05,4388.53,4396.37,4563.2300000000005,4302.18,4402.5169252689475,,
1779960600,4396.37,4397.14,4390.02,4391.05,4563.2300000000005,4302.18,4402.333161314172,,
1779961500,4391.05,4396.45,4389.6,4393.44,4563.2300000000005,4302.18,4402.214646373185,,
1779962400,4393.44,4404.23,4391.39,4399.17,4563.2300000000005,4302.18,4402.156297017374,,
1779963300,4399.17,4402.58,4393.82,4401.16,4563.2300000000005,4302.18,4402.120737238068,,
1779964200,4401.16,4402.4,4387.9,4388.97,4563.2300000000005,4302.18,4401.98871120932,,
1779965100,4388.97,4388.97,4374.84,4382.95,4563.2300000000005,4302.18,4401.359060699063,,
1779966000,4382.95,4389.48,4381.58,4386.9,4563.2300000000005,4302.18,4401.021888248447,,
1779966900,4386.9,4390.59,4384.34,4384.84,4563.2300000000005,4302.18,4400.830852381806,,
1779967800,4384.84,4390.36,4380.84,4385.71,4563.2300000000005,4302.18,4400.504833295187,,
1779968700,4385.71,4388.5,4381.08,4388.03,4563.2300000000005,4302.18,4400.212629051887,,
1779969600,4388.03,4393.02,4387.86,4392.46,4563.2300000000005,4302.18,4400.081175553647,,
1779970500,4392.46,4392.85,4379.47,4384.79,4563.2300000000005,4302.18,4399.819136690011,,
1779971400,4384.79,4403.01,4383.69,4402.47,4563.2300000000005,4302.18,4399.70612842013,,
1779972300,4402.47,4433.78,4401.6,4432.1,4563.2300000000005,4302.18,4400.422329321353,,
1779973200,4432.1,4439.02,4424.94,4426.65,4563.2300000000005,4302.18,4401.610058018644,,
1779974100,4426.65,4434.22,4425.66,4428.67,4563.2300000000005,4302.18,4402.217982235161,,
1779975000,4428.67,4430.89,4417.97,4422.06,4563.2300000000005,4302.18,4403.18444418812,,
1779975900,4422.06,4434.38,4421.4,4430.12,4563.2300000000005,4302.18,4404.033189007343,,
1779976800,4430.12,4467.48,4420.36,4463.95,4563.2300000000005,4302.18,4406.454041160388,,
1779977700,4463.95,4473.07,4451.03,4460.67,4563.2300000000005,4302.18,4410.174891560507,,
1779978600,4460.67,4471.59,4452.77,4468.77,4563.2300000000005,4302.18,4412.4660593985745,,
1779979500,4468.77,4480.35,4461.91,4469.76,4563.2300000000005,4302.18,4414.7753091736095,,
1779980400,4469.76,4480.74,4468.64,4471.33,4563.2300000000005,4302.18,4416.301290138193,,
1779981300,4471.33,4482.2,4469.22,4476.7,4563.2300000000005,4302.18,4417.486674000345,,
1779982200,4476.7,4484.88,4476.7,4479.24,4563.2300000000005,4302.18,4418.794387891564,,
1779983100,4479.24,4482.38,4478.52,4482.09,4563.2300000000005,4302.18,4419.628631521361,,
1779984000,4482.09,4485.66,4477.82,4484.27,4563.2300000000005,4302.18,4420.45484741489,,
1779984900,4484.27,4502.87,4483.92,4500.52,4563.2300000000005,4302.18,4422.003277746277,,
1779985800,4500.52,4506.33,4497.42,4504.31,4563.2300000000005,4302.18,4423.238071173933,,
1779986700,4504.31,4511.04,4504.17,4510.97,4563.2300000000005,4302.18,4424.346292774188,,
1779987600,4510.97,4514.52,4503.45,4503.83,4563.2300000000005,4302.18,4425.528712588786,,
