time,open,high,low,close,MA 1,MA 2
1773630000,24477.32,24526.7,24476.7,24519.82,,
1773633600,24519.82,24537.2,24494.57,24495.2,,
1773637200,24495.2,24549.45,24495.07,24547.95,,
1773640800,24547.95,24553.82,24525.07,24553.07,,
1773644400,24553.07,24571.45,24493.07,24501.95,,
1773648000,24501.95,24557.57,24485.95,24517.57,,
1773651600,24517.57,24523.95,24466.57,24480.57,,
1773655200,24480.57,24600.57,24476.07,24592.7,,
1773658800,24592.7,24624.2,24564.82,24613.95,,
1773662400,24613.95,24676.45,24612.7,24646.2,,
1773666000,24646.2,24729.22,24612.85,24724.97,,
1773669600,24724.97,24752.47,24609.47,24682.6,,
1773673200,24682.6,24726.97,24636.85,24664.22,,
1773676800,24664.22,24692.22,24608.35,24663.1,,
1773680400,24663.1,24711.35,24641.1,24670.6,,
1773684000,24670.6,24722.47,24666.1,24693.1,,
1773687600,24693.1,24803.72,24626.72,24658.35,,
1773691200,24658.35,24673.2,24634.57,24645.39,,
1773698400,24645.39,24652.15,24610.7,24615.2,,
1773702000,24615.2,24657.7,24612.65,24656.45,,
1773705600,24656.45,24657.45,24581.7,24591.45,,
1773709200,24591.45,24624.58,24587.83,24612.95,,
1773712800,24612.95,24615.95,24564.45,24569.33,,
1773716400,24569.33,24588.08,24558.83,24569.2,,
1773720000,24569.2,24625.95,24566.58,24614.2,,
1773723600,24614.2,24631.2,24532.2,24534.45,,
1773727200,24534.45,24552.7,24508.83,24533.08,,
1773730800,24533.08,24594.83,24516.2,24548.9,,
1773734400,24548.9,24586.58,24517.33,24546.95,,
1773738000,24546.95,24627.58,24546.83,24621.2,,
1773741600,24621.2,24621.2,24570.83,24610.2,,
1773745200,24610.2,24635.83,24588.15,24590.2,,
1773748800,24590.2,24713.7,24588.65,24707.4,,
1773752400,24707.4,24885.48,24704.9,24863.65,,
1773756000,24863.65,24868.15,24769.85,24848.35,,
1773759600,24848.35,24860.6,24725.85,24764.85,,
1773763200,24764.85,24800.1,24722.48,24771.1,,
1773766800,24771.1,24817.23,24769.85,24808.35,,
1773770400,24808.35,24830.35,24764.23,24776.1,,
1773774000,24776.1,24799.48,24754.73,24782.73,,
1773777600,24782.73,24799.95,24776.08,24795.65,,
1773784800,24795.65,24797.37,24765.17,24780.42,,
1773788400,24780.42,24798.17,24769.92,24778.05,,
1773792000,24778.05,24856.67,24772.05,24853.55,,
1773795600,24853.55,24871.55,24853.55,24870.42,,
1773799200,24870.42,24902.42,24868.3,24891.42,,
1773802800,24891.42,24917.05,24881.17,24910.05,,
1773806400,24910.05,24920.92,24903.92,24912.8,,
1773810000,24912.8,24942.67,24908.55,24941.17,,
1773813600,24941.17,24982.55,24938.87,24954.17,,
1773817200,24954.17,24959.55,24931.67,24934.67,,
1773820800,24934.67,24957.8,24927.17,24944.42,,
1773824400,24944.42,24962.67,24932.42,24942.17,,
1773828000,24942.17,24969.42,24932.55,24934.12,,
1773831600,24934.12,24949.42,24871.55,24885.8,,
1773835200,24885.8,24891.3,24645.12,24656.8,,
1773838800,24656.8,24772.2,24640.42,24743.07,,
1773842400,24743.07,24758.45,24588.82,24659.07,,
1773846000,24659.07,24706.7,24636.45,24674.07,,
1773849600,24674.07,24685.45,24606.57,24620.57,,
1773853200,24620.57,24657.12,24572.2,24647.12,,
1773856800,24647.12,24689.7,24518.07,24520.45,,
1773860400,24520.45,24577.07,24419.57,24429.95,,
